Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,zipcode,airbnb_record_count,airbnb_price_mean,airbnb_weekly_price_mean,airbnb_monthly_price_mean
Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,4/03/2017,14.0,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,23 Hart St,2,h,603000.0,S,Nelson,4/03/2017,14.0,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,4/03/2017,14.0,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,4/03/2017,14.0,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,4/03/2017,14.0,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,54 Marshall Rd,3,h,720000.0,S,Barry,6/08/2016,14.0,3042.0,2.0,1.0,1.0,620.0,,,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,36 Roberts Rd,4,h,785000.0,S,Considine,6/08/2016,14.0,3042.0,3.0,1.0,2.0,597.0,127.0,,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,3/19 Hart St,2,u,515000.0,S,Barry,7/11/2016,14.0,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,10/09/2016,14.0,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,13 Etzel St,3,h,805000.0,S,Nelson,10/12/2016,14.0,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,11/02/2017,14.0,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,15/10/2016,14.0,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,43 Hillside Gr,3,h,670000.0,SP,Barry,16/07/2016,14.0,3042.0,3.0,2.0,2.0,657.0,,,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,174 Parer Rd,2,h,675000.0,S,Barry,16/07/2016,14.0,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,6 Kittyhawk St,4,h,773000.0,S,Brad,17/09/2016,14.0,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,18/03/2017,14.0,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,18/03/2017,14.0,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,106 Parer Rd,3,h,790000.0,S,Nelson,18/03/2017,14.0,3042.0,3.0,1.0,3.0,614.0,,,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,18/06/2016,14.0,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,37 North St,3,t,825000.0,SP,Barry,19/11/2016,14.0,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,22/05/2016,14.0,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,110 Halsey Rd,3,h,805000.0,S,Barry,22/08/2016,14.0,3042.0,3.0,1.0,1.0,623.0,,,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,2/13 North St,2,u,510000.0,S,Nelson,22/08/2016,14.0,3042.0,2.0,1.0,1.0,141.0,76.0,,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,105a Victory Rd,3,h,612000.0,S,Nelson,22/08/2016,14.0,3042.0,3.0,2.0,1.0,212.0,,,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,117 Marshall Rd,3,h,662000.0,S,Brad,23/04/2016,14.0,3042.0,3.0,1.0,2.0,612.0,,,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,34 Moorna Dr,4,h,978000.0,S,Nelson,24/09/2016,14.0,3042.0,4.0,3.0,2.0,532.0,,,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,33 North St,3,h,720000.0,PI,Nelson,25/02/2017,14.0,3042.0,3.0,1.0,1.0,585.0,,,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,49 Roberts Rd,4,h,765000.0,S,Prof.,27/11/2016,14.0,3042.0,4.0,1.0,2.0,509.0,,,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,27/11/2016,14.0,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,-38.0,145.0,Western Metropolitan,3464.0,3042.0,4.0,81.0,535.0,1801.0
Albert Park,105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,3/09/2016,3.0,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,85 Richardson St,2,h,1455000.0,S,Thomson,3/09/2016,3.0,3206.0,2.0,1.0,0.0,159.0,,,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,396 Montague St,2,h,1436000.0,S,RT,4/03/2017,3.0,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,75 Graham St,2,h,1110000.0,S,Marshall,6/08/2016,3.0,3206.0,1.0,1.0,0.0,147.0,,1900.0,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,54 Brooke St,2,h,1550000.0,S,Sotheby's,7/05/2016,3.0,3206.0,2.0,1.0,1.0,167.0,,,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,4a Mills St,3,t,1550000.0,VB,Marshall,7/11/2016,3.0,3206.0,3.0,2.0,2.0,718.0,,,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,7/11/2016,3.0,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,3 Herbert St,3,h,1800000.0,VB,Cayzer,10/09/2016,3.0,3206.0,3.0,1.0,1.0,253.0,,,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,10/09/2016,3.0,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,44 Draper St,2,h,1810000.0,PI,Greg,10/12/2016,3.0,3206.0,2.0,1.0,0.0,240.0,,,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,31 Richardson St,3,h,1300000.0,S,hockingstuart,10/12/2016,3.0,3206.0,3.0,1.0,0.0,129.0,,,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,12/06/2016,3.0,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,60 Brooke St,2,h,1000000.0,S,Cayzer,12/11/2016,3.0,3206.0,2.0,1.0,0.0,288.0,,,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,65 Graham St,2,h,1322500.0,S,Greg,15/10/2016,3.0,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,364 Montague St,2,h,1562500.0,S,Greg,15/10/2016,3.0,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,10/140 Kerferd Rd,2,u,647000.0,S,Greg,22/05/2016,3.0,3206.0,2.0,1.0,1.0,0.0,,,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,32 Page St,2,h,1340000.0,S,Greg,25/02/2017,3.0,3206.0,2.0,1.0,0.0,136.0,,,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,34 Richardson St,3,h,1801000.0,S,hockingstuart,25/02/2017,3.0,3206.0,3.0,1.0,1.0,202.0,,,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,2b Dundas Pl,3,h,1532000.0,S,Chisholm,26/07/2016,3.0,3206.0,3.0,3.0,1.0,0.0,,,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,44 Greig St,2,h,1750000.0,S,Marshall,27/11/2016,3.0,3206.0,2.0,1.0,1.0,162.0,,,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,6 Brooke St,2,h,980000.0,S,Greg,28/05/2016,3.0,3206.0,2.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,17 Reed St,3,h,1740000.0,PI,Marshall,28/08/2016,3.0,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Albert Park,9 Durham St,1,h,985000.0,S,Marshall,30/07/2016,3.0,3206.0,1.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip,-38.0,145.0,Southern Metropolitan,3280.0,,,,,
Alphington,5/6 Yarralea St,3,h,1110000.0,S,Jellis,3/09/2016,6.0,3078.0,3.0,2.0,2.0,208.0,,2013.0,Yarra,-38.0,145.0,Northern Metropolitan,2211.0,,,,,
Alphington,136A Fulham Rd,3,h,1492000.0,S,Jellis,4/03/2017,6.0,3078.0,3.0,2.0,2.0,411.0,,,Darebin,-38.0,145.0,Northern Metropolitan,2211.0,,,,,
Alphington,44 Shiers St,4,h,1717500.0,S,Collins,8/10/2016,6.0,3078.0,4.0,2.0,1.0,599.0,203.0,1925.0,Darebin,-38.0,145.0,Northern Metropolitan,2211.0,,,,,
Alphington,3/19 Harker St,2,u,525500.0,S,Miles,12/11/2016,6.0,3078.0,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin,-38.0,145.0,Northern Metropolitan,2211.0,,,,,
Alphington,4/2 Miller St,2,t,805000.0,S,Miles,12/11/2016,6.0,3078.0,2.0,2.0,3.0,155.0,140.0,2004.0,Darebin,-38.0,145.0,Northern Metropolitan,2211.0,,,,,
Alphington,44 Naroon Rd,3,h,1540000.0,S,Nelson,16/04/2016,6.0,3078.0,3.0,1.0,2.0,592.0,,,Darebin,-38.0,145.0,Northern Metropolitan,2211.0,,,,,
Alphington,3/98 Grange Rd,2,u,820000.0,S,Nelson,18/03/2017,6.0,3078.0,2.0,1.0,1.0,183.0,,,Darebin,-38.0,145.0,Northern Metropolitan,2211.0,,,,,
Alphington,10 Bennett St,4,h,1830000.0,S,Nelson,19/11/2016,6.0,3078.0,4.0,2.0,2.0,606.0,112.0,1970.0,Darebin,-38.0,145.0,Northern Metropolitan,2211.0,,,,,
Alphington,2c Hamilton St,3,h,865000.0,SP,hockingstuart,22/05/2016,6.0,3078.0,3.0,1.0,1.0,180.0,131.0,2010.0,Darebin,-38.0,145.0,Northern Metropolitan,2211.0,,,,,
Alphington,7/7 Chandler Hwy,2,t,650000.0,SP,Brace,24/09/2016,6.0,3078.0,0.0,1.0,0.0,0.0,,,Yarra,-38.0,145.0,Northern Metropolitan,2211.0,,,,,
Alphington,1/14 Fulham Rd,2,u,512000.0,S,Love,25/02/2017,6.0,3078.0,2.0,1.0,1.0,0.0,61.0,1965.0,Darebin,-38.0,145.0,Northern Metropolitan,2211.0,,,,,
Altona,158 Queen St,3,h,520000.0,VB,Greg,3/09/2016,14.0,3018.0,3.0,2.0,1.0,352.0,242.0,2015.0,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,1/123 Blyth St,2,t,720000.0,S,hockingstuart,4/02/2016,14.0,3018.0,2.0,1.0,2.0,292.0,125.0,2013.0,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,4 Blyth St,3,h,1120000.0,S,Barlow,4/03/2017,14.0,3018.0,3.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,20 Linnet St,4,h,780000.0,PI,Sweeney,4/06/2016,14.0,3018.0,4.0,1.0,4.0,655.0,,,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,1/170 Blyth St,3,u,630000.0,S,Barlow,6/08/2016,14.0,3018.0,2.0,1.0,2.0,311.0,94.0,1955.0,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,156 Maidstone St,3,h,660000.0,VB,Greg,7/05/2016,14.0,3018.0,3.0,1.0,1.0,602.0,123.0,1955.0,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,11 Keeshan Ct,3,h,683500.0,S,Greg,7/11/2016,14.0,3018.0,3.0,1.0,1.0,530.0,,,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,1/136 Queen St,2,u,580000.0,S,Barlow,8/10/2016,14.0,3018.0,2.0,1.0,1.0,225.0,93.0,1988.0,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,1/265 Queen St,3,t,800000.0,SP,hockingstuart,8/10/2016,14.0,3018.0,3.0,2.0,2.0,280.0,,1997.0,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,3/26 Grieve Pde,2,u,510000.0,S,Village,10/09/2016,14.0,3018.0,2.0,1.0,1.0,127.0,76.0,1990.0,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,261 Queen St,4,h,1070000.0,S,Barlow,10/09/2016,14.0,3018.0,4.0,2.0,2.0,695.0,,,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,1/60 David St,3,u,605000.0,S,Jas,10/12/2016,14.0,3018.0,3.0,2.0,2.0,230.0,,,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,1A Merritt Ct,3,t,705000.0,S,hockingstuart,11/02/2017,14.0,3018.0,3.0,2.0,2.0,197.0,152.0,,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,1/152 Blyth St,3,t,743000.0,SP,Gunn&Co,12/11/2016,14.0,3018.0,3.0,2.0,2.0,211.0,176.0,,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,4/57 Blyth St,3,u,730000.0,SP,Barlow,13/08/2016,14.0,3018.0,3.0,2.0,1.0,69.0,141.0,2014.0,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,164 Maidstone St,3,h,635000.0,S,Sweeney,14/05/2016,14.0,3018.0,3.0,1.0,4.0,625.0,,1960.0,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,3/25 Rayner St,2,u,620000.0,SP,hockingstuart,14/05/2016,14.0,3018.0,2.0,1.0,1.0,168.0,,,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,1/57 Blyth St,3,u,730000.0,SP,Barlow,16/04/2016,14.0,3018.0,3.0,2.0,1.0,70.0,,,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,22 Fenfield St,3,h,678000.0,S,hockingstuart,16/04/2016,14.0,3018.0,3.0,1.0,2.0,606.0,87.0,1950.0,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,5/8 David St,2,u,580000.0,PI,Biggin,16/07/2016,14.0,3018.0,2.0,2.0,1.0,175.0,76.0,2013.0,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,1/28 Seves St,3,h,712000.0,S,hockingstuart,17/09/2016,14.0,3018.0,3.0,1.0,2.0,363.0,,,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,27 McIntyre Dr,3,h,840000.0,SP,Greg,18/03/2017,14.0,3018.0,3.0,2.0,2.0,534.0,136.0,1965.0,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,4 Boyd St,3,h,980000.0,S,Barlow,19/11/2016,14.0,3018.0,3.0,1.0,2.0,724.0,,,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,12 Spear Ct,3,t,605100.0,S,hockingstuart,22/05/2016,14.0,3018.0,3.0,2.0,0.0,265.0,,,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,185 Queen St,3,h,880000.0,PI,Barlow,22/08/2016,14.0,3018.0,3.0,3.0,1.0,577.0,,,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
Altona,3/20 Mulga St,3,u,577000.0,S,Williams,23/04/2016,14.0,3018.0,3.0,2.0,1.0,205.0,113.0,2007.0,Hobsons Bay,-38.0,145.0,Western Metropolitan,5301.0,3018.0,1.0,84.0,525.0,2100.0
